trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.026959700044244528,,0.00421509996522218,0.026959700044244528,0.5108054999727756,0.5108054999727756,0.5273925000801682,0.8252402000362054,0.9799915000330657,right,20.0,1,1,0.45505360001698136,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
1,2,18.0,0.9919687000801787,,0.980106099974364,0.9919687000801787,1.4912943000672385,1.4912943000672385,1.4912943000672385,1.806668300065212,2.372027000063099,right,18.0,1,1,0.8758146000327542,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
2,2,16.0,2.3885394000681117,,2.372108399984427,2.3885394000681117,2.8868136999662966,2.8868136999662966,2.903301600017585,3.202210700022988,3.785475100041367,left,-16.0,1,1,0.8820930999936536,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
3,2,14.0,3.801377300056629,,3.785555300069973,3.801377300056629,4.300217100069858,4.300217100069858,4.316122299991548,4.615115800057538,5.082180800032802,left,-14.0,1,1,0.7736975000007078,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
4,2,12.0,5.096950400038622,,5.082262400072068,5.096950400038622,5.596459900029004,5.596459900029004,5.596459900029004,5.894749099970795,6.345084400032647,left,-12.0,1,1,0.7353113999124616,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
5,2,10.0,6.360400400008075,,6.345200899988413,6.360400400008075,6.859179700026289,6.859179700026289,6.875681500067003,7.158920900081284,7.608239599969238,right,10.0,1,1,0.7436504999641329,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
6,2,8.0,7.623546299990267,,7.608321700012311,7.623546299990267,8.122536899987608,8.122536899987608,8.139695400022902,8.421792200068012,8.638960000011139,right,8.0,1,1,0.5037743999855593,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
7,2,6.0,8.654642699984834,,8.639046799973585,8.654642699984834,9.153286200016737,9.153286200016737,9.169187500025146,9.451704400009476,9.968664800049737,left,-6.0,1,1,0.8116377999540418,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
8,2,4.0,9.984051399980672,,9.968753000022843,9.984051399980672,10.482673599966802,10.482673599966802,10.482673599966802,10.781754600000568,11.347575000021607,right,4.0,1,1,0.8520916000707075,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
9,2,2.0,11.36317989998497,,11.347669500042684,11.36317989998497,11.862319400068372,11.862319400068372,11.862319400068372,12.161285200039856,12.859902100055479,left,-2.0,1,1,0.9888417000183836,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
10,2,1.0,12.875541700050235,,12.860009800060652,12.875541700050235,13.375674600014463,13.375674600014463,13.375674600014463,13.690579400048591,14.306059199967422,left,-1.0,1,1,0.9267262000357732,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
11,2,1.0,14.321764499996789,,14.306164700072259,14.321764499996789,14.820554499980062,14.820554499980062,14.820554499980062,15.136141299968585,15.852045600069687,left,-1.0,1,1,1.0245944999624044,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
12,2,1.0,15.867863700026646,,15.852131100022234,15.867863700026646,16.367051200009882,16.367051200009882,16.382948699989356,16.682338700047694,17.165834299987182,right,1.0,1,1,0.7919620999600738,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
13,2,1.0,17.180945600033738,,17.165915800025687,17.180945600033738,17.679837999981828,17.679837999981828,17.679837999981828,17.995540800038725,18.59404200001154,right,1.0,1,1,0.9011713999789208,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
14,2,1.0,18.610113500035368,,18.59412370005157,18.610113500035368,19.109146800008602,19.109146800008602,19.109146800008602,19.42516240000259,19.874454300035723,right,1.0,1,1,0.7612705000210553,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
15,2,1.0,19.889986000023782,,19.874536799965426,19.889986000023782,20.388449200079776,20.388449200079776,20.4054785000626,20.688540200004354,21.387667800066993,right,1.0,1,1,0.9979309999616817,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
16,1,1.0,21.402832100051455,,21.38777430006303,21.402832100051455,21.902554500033148,21.902554500033148,21.9180178999668,22.21757370000705,22.96593299997039,left,-1.0,0,0,1.0469918999588117,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
17,1,2.0,22.982009900035337,,22.966018400038593,22.982009900035337,23.48083370004315,23.48083370004315,23.49787359999027,23.795929900021292,24.62830149999354,left,-2.0,1,1,1.1429064000258222,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
18,1,2.0,24.64405160001479,,24.628382900031283,24.64405160001479,25.143046300043352,25.143046300043352,25.159366799984127,25.442664499976672,25.99069360003341,left,-2.0,1,1,0.8420849000103772,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
19,1,2.0,26.007120699970983,,25.99077400006354,26.007120699970983,26.50545359996613,26.50545359996613,26.521881700027734,26.804445300018415,27.371086600003764,left,-2.0,1,1,0.8616516999900341,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
20,1,1.0,27.38618749997113,,27.37117160006892,27.38618749997113,27.885049000033177,27.885049000033177,27.901494499994442,28.184443300007842,28.650394199998118,right,1.0,1,1,0.7632876000134274,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
21,1,1.0,28.666790900053456,,28.650476000038907,28.666790900053456,29.16495810006745,29.16495810006745,29.18132069997955,29.46366270002909,30.046407400048338,right,1.0,1,1,0.8772208000300452,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
22,1,1.0,30.062344899983145,,30.046489399974234,30.062344899983145,30.560577500029467,30.560577500029467,30.560577500029467,30.86095280002337,31.47625840001274,right,1.0,1,1,0.905362999998033,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
23,1,1.0,31.492190600023605,,31.47634030005429,31.492190600023605,31.99111379997339,31.99111379997339,32.00777600007132,32.28992750006728,32.6398209000472,right,1.0,1,1,0.6469388999976218,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
24,1,1.0,32.654687999980524,,32.63990080007352,32.654687999980524,33.154042400070466,33.154042400070466,33.154042400070466,33.45312980003655,34.11955070006661,right,1.0,1,1,0.9566637999378145,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
25,1,1.0,34.13488759996835,,34.11967879999429,34.13488759996835,34.63379860005807,34.63379860005807,34.650137900025584,34.94881380000152,35.432534700026736,right,1.0,1,1,0.7974959000712261,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
26,1,1.0,35.447492800070904,,35.432619899977,35.447492800070904,35.94622510008048,35.94622510008048,35.9632376000518,36.24596890003886,36.97794870007783,left,-1.0,1,1,1.027718700002879,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
27,1,1.0,36.99354120006319,,36.97802949999459,36.99354120006319,37.49237150000408,37.49237150000408,37.509745500050485,37.791745600057766,38.75623689999338,left,-1.0,1,1,1.2628370999591425,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
28,1,1.0,38.77189570001792,,38.75633050000761,38.77189570001792,39.27075380005408,39.27075380005408,39.27075380005408,39.569625600008294,40.20249579998199,right,1.0,1,1,0.9203387000598013,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
29,1,1.0,40.21798980003223,,40.20257690001745,40.21798980003223,40.716436300077476,40.716436300077476,40.73287680000067,41.015616600052454,41.49879169999622,right,1.0,1,1,0.7737475000321865,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
30,1,1.0,41.51503540005069,,41.49887460004538,41.51503540005069,42.01361899997573,42.01361899997573,42.029163300059736,42.328524700016715,42.77857119997498,left,-1.0,1,1,0.7498620999976993,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
31,1,1.0,42.794714000076056,,42.778649599989876,42.794714000076056,43.293631299980916,43.293631299980916,43.30991110007744,43.60883649997413,44.12465340003837,left,-1.0,1,1,0.8215685000177473,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
32,1,1.0,44.141295599984005,,44.12476220005192,44.141295599984005,44.63991700008046,44.63991700008046,44.656425400055014,44.95491079997737,45.886821200023405,right,1.0,1,1,1.234628599951975,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
33,0.5,1.0,45.90244850004092,,45.88690270006191,45.90244850004092,46.401335400063545,46.401335400063545,46.41818020003848,46.70014430000447,47.41558160004206,left,-1.0,0,0,1.009696500026621,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
34,0.5,1.5,47.43169300002046,,47.41566639998928,47.43169300002046,47.93080159998499,47.93080159998499,47.947555999970064,48.246399600058794,48.911794100073166,right,1.5,1,1,0.9756964999251068,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
35,0.5,1.5,48.92711400007829,,48.91190160007682,48.92711400007829,49.42671670007985,49.42671670007985,49.42671670007985,49.7415821000468,50.27502100006677,left,-1.5,1,1,0.8406554999528453,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
36,0.5,1.5,50.290281699970365,,50.27512600005139,50.290281699970365,50.78997599997092,50.78997599997092,50.78997599997092,51.105563200078905,52.12046420003753,left,-1.5,1,1,1.3165008999640122,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
37,0.5,1.0,52.13576740003191,,52.12056000006851,52.13576740003191,52.63439310004469,52.63439310004469,52.65132589999121,52.933799499995075,53.61552730004769,right,1.0,0,0,0.9744277000427246,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
38,0.5,1.5,53.63065970002208,,53.61561119998805,53.63065970002208,54.130134999984875,54.130134999984875,54.130134999984875,54.42945960001089,54.97858220001217,right,1.5,1,1,0.8383403999032453,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
39,0.5,1.5,54.994057600037195,,54.97866360004991,54.994057600037195,55.49316140008159,55.49316140008159,55.50985989999026,55.791894700028934,56.30804610007908,right,1.5,1,1,0.7980368999997154,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
40,0.5,1.5,56.323813700000755,,56.30812739999965,56.323813700000755,56.82359769998584,56.82359769998584,56.83964370004833,57.13877419999335,58.02095180004835,left,-1.5,0,0,1.1793980000074953,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
41,0.5,2.0,58.03664419997949,,58.02103549998719,58.03664419997949,58.5351397000486,58.5351397000486,58.55183150002267,58.83639110007789,59.44954459997825,right,2.0,1,1,0.9093190999701619,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
42,0.5,2.0,59.465619900031015,,59.449645600048825,59.465619900031015,59.96377759997267,59.96377759997267,59.98098790005315,60.26334289996885,60.92919830000028,left,-2.0,1,1,0.9593499999027699,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
43,0.5,2.0,60.94459369999822,,60.92928240005858,60.94459369999822,61.44322919996921,61.44322919996921,61.46005080000032,61.74245929997414,62.392142400029115,right,2.0,1,1,0.935959400027059,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
44,0.5,1.5,62.407098600058816,,62.392227399977855,62.407098600058816,62.90657840005588,62.90657840005588,62.90657840005588,63.20575670001563,63.68823850003537,left,-1.5,1,1,0.7693594000302255,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
45,0.5,1.5,63.704726499971,,63.688317500054836,63.704726499971,64.20362070004921,64.20362070004921,64.21896690002177,64.51811150007416,65.10171970003285,right,1.5,1,1,0.8930386999854818,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
46,0.5,1.5,65.11743890005164,,65.10180150007363,65.11743890005164,65.61506740003824,65.61506740003824,65.63163339998573,65.914602200035,66.64654069999233,left,-1.5,0,0,1.0236641999799758,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
47,0.5,2.0,66.6619006000692,,66.64662620006129,66.6619006000692,67.16137960006017,67.16137960006017,67.16137960006017,67.46012160007376,68.09230690007098,right,2.0,1,1,0.9201164999976754,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
48,0.5,2.0,68.10881100001279,,68.09238789998926,68.10881100001279,68.60746410000138,68.60746410000138,68.62352690007538,68.9228658999782,69.77144829998724,right,2.0,1,1,1.1586827000137419,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
